elapsed_s,power_mA,temperature_C,flow_sccm
397,0.5486,803.9,20.67
398,0.5498,806.5,20.14
399,0.551,807.5,20
400,0.5522,808.5,20.01
401,0.5534,809.5,19.97
402,0.5547,810.9,20.05
403,0.5559,812.3,20.06
404,0.5571,812.7,20.04
405,0.5583,814.7,20.04
406,0.5596,814.6,20.04
407,0.5608,815.8,20.05
408,0.562,816.7,20.01
409,0.5632,817.4,20.02
410,0.5644,819,20.03
411,0.5657,818.1,20.05
412,0.5669,820.7,19.97
413,0.5681,821.4,20.02
414,0.5693,822.1,20.06
415,0.5706,823.2,20.49
416,0.5718,824.5,19.64
417,0.573,825.5,20.02
418,0.5742,827.1,20.09
419,0.5754,826.2,20.04
420,0.5767,829,20.24
421,0.5779,829.7,19.75
422,0.5791,830.5,19.99
423,0.5803,830.7,20.06
424,0.5816,832.1,21.38
425,0.5828,833.5,15.65
426,0.584,835.1,19.86
427,0.5852,835,18.52
428,0.5864,835.9,19.04
429,0.5877,836.6,20.91
430,0.5889,838.1,21.29
431,0.5901,838.5,10.41
432,0.5913,839.4,21.38
433,0.5926,840.2,18.6
434,0.5938,840.6,21.38
435,0.595,841.4,17.33
436,0.5962,843.5,21.19
437,0.5974,843.9,17.43
438,0.5987,842.9,20.33
439,0.5999,842.5,20.38
440,0.6011,847,21.38
441,0.6023,847.4,13.77
442,0.6036,848,20.16
443,0.6048,848.2,5.529
444,0.606,849.4,2.001
445,0.6072,850.6,21.38
446,0.6072,853.1,21.38
447,0.6039,852.5,19.68
448,0.6006,853.4,19.94
449,0.5972,854.5,21.38
450,0.5939,855.4,21.38
451,0.5906,856,8.041
452,0.5872,855.9,21.38
453,0.5839,857.4,21.38
454,0.5806,857.7,18.5
455,0.5772,860,8.952
456,0.5739,859.2,3.938
457,0.5706,859.4,0.09579
458,0.5672,856.9,0.03298
459,0.5639,857.4,2.483
460,0.5606,859.8,0.03298
461,0.5572,860.4,0.03298
462,0.5539,860.5,0.02251
463,0.5506,859.7,21.38
464,0.5472,861.5,21.38
465,0.5439,860.3,21.38
466,0.5406,859.9,21.38
467,0.5372,860.5,21.38
468,0.5339,857.4,11.62
469,0.5372,859.2,0.05391
470,0.5339,858.9,0.03298
