author,agg_score,n_relevant_articles,coauthor_name_collision,affiliations_seen,top_papers
"Wu, Jie",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Zhou, Chu",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Liu, Ahdi",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Xie, Jinlin",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Li, Hong",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Xiao, Chijin",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Liu, Wandong",55.0,2,,"Department of Plasma Physics and Fusion Engineering, University of Science and Technology of China 1 , Hefei 230026, | Department of Plasma Physics and Fusion Engineering, University of Science and Te",[20] 2024 doi:10.1063/5.0212144 Measurement of electron and neutral particle densities using a two-color optical fiber int; [20] 2021 doi:10.1063/5.0055570 Long-time measurements of line-integrated plasma electron density using a two-color homody
"Pasqualotto, R.",54.0,5,,"Consorzio RFX (CNR, ENEA, INFN, UNIPD, Acciaierie Venete SpA) 1 , Corso Stati Uniti 4, 35127 Padova, Italy | Consorzio RFX , Corso Stati Uniti 4, I-35127 Padova, Italy | Consorzio RFX 1 , Corso Stati ",[11] 2016 doi:10.1063/1.4961077 Final design of thermal diagnostic system in SPIDER ion source; [10] 2021 doi:10.1063/5.0043226 Development and first operation of a cavity ring down spectroscopy diagnostic in the negat; [10] 2018 doi:10.1063/1.5036823 Neutron measurements at the ELISE neutral beam test facility and implications for neutron ; [8] 2020 doi:10.1063/1.5133076 First operation in SPIDER and the path to complete MITICA
"Balter, M.",53.7,2,,"Institut für Materialphysik im Weltraum, Deutsches Zentrum für Luft- und Raumfahrt (DLR) , 51170 Köln, Germany | Institut für Materialphysik im Weltraum, Deutsches Zentrum für Luft- und Raumfahrt 1 , ",[26] 2019 doi:10.1063/1.5124822 ARTEC—A furnace module for directional solidification and quenching experiments in microgr; [18] 2020 doi:10.1063/1.5124548 XRISE-M: X-radiography facility for solidification and diffusion studies of alloys aboard 
"Mendonça, Jérôme",53.6,2,,"ICSM, University Montpellier, CNRS, CEA, ENSCM 1 , Site de Marcoule, Bâtiment 426, BP 17171, F-30207 Bagnols-sur-Cèze, France | NewTec Scientific 2 , 2 Route de Sommières, 30820 Caveirac, France",[19] 2024 doi:10.1063/5.0207475 Development of a microfurnace dedicated to in situ scanning electron microscope observatio; [18] 2024 doi:10.1063/5.0207477 Development of a microfurnace dedicated to in situ scanning electron microscope observatio
"Brau, Henri-Pierre",53.6,2,,"ICSM, University Montpellier, CNRS, CEA, ENSCM 1 , Site de Marcoule, Bâtiment 426, BP 17171, F-30207 Bagnols-sur-Cèze, France | ICSM, University of Montpellier, CNRS, CEA, ENSCM 1 , Bagnols-sur-Cèze, ",[19] 2024 doi:10.1063/5.0207475 Development of a microfurnace dedicated to in situ scanning electron microscope observatio; [18] 2024 doi:10.1063/5.0207477 Development of a microfurnace dedicated to in situ scanning electron microscope observatio
"Nogues, Dorian",53.6,2,,"NewTec Scientific 2 , 2 Route de Sommières, 30820 Caveirac, France",[19] 2024 doi:10.1063/5.0207475 Development of a microfurnace dedicated to in situ scanning electron microscope observatio; [18] 2024 doi:10.1063/5.0207477 Development of a microfurnace dedicated to in situ scanning electron microscope observatio
"Candeias, Antoine",53.6,2,,"NewTec Scientific 2 , 2 Route de Sommières, 30820 Caveirac, France",[19] 2024 doi:10.1063/5.0207475 Development of a microfurnace dedicated to in situ scanning electron microscope observatio; [18] 2024 doi:10.1063/5.0207477 Development of a microfurnace dedicated to in situ scanning electron microscope observatio
"Podor, Renaud",53.6,2,,"ICSM, University Montpellier, CNRS, CEA, ENSCM 1 , Site de Marcoule, Bâtiment 426, BP 17171, F-30207 Bagnols-sur-Cèze, France | ICSM, University of Montpellier, CNRS, CEA, ENSCM 1 , Bagnols-sur-Cèze, ",[19] 2024 doi:10.1063/5.0207475 Development of a microfurnace dedicated to in situ scanning electron microscope observatio; [18] 2024 doi:10.1063/5.0207477 Development of a microfurnace dedicated to in situ scanning electron microscope observatio
"Martin, F.",53.0,2,,"CEA, DEN/CAD/DEC/SSA3C, Laboratoire d’Analyse de la Migration des Radioelements 2 , 13108 Saint-Paul-lez-Durance, France | CEA, DES, IRESNE, DEC, Cadarache 1 , F-13108 Saint-Paul-Lez-Durance, France",[28] 2023 doi:10.1063/5.0139508 A laser-based system to heat nuclear fuel pellets at high temperature; [12] 2018 doi:10.1063/1.4996611 An experimental platform for real-time measurement of the deformation of nuclear fuel rod 
"Pontillon, M.",53.0,2,,"CEA, DEN/CAD/DEC/SSA3C, Laboratoire d’Analyse de la Migration des Radioelements 2 , 13108 Saint-Paul-lez-Durance, France | CEA, DES, IRESNE, DEC, Cadarache 1 , F-13108 Saint-Paul-Lez-Durance, France",[28] 2023 doi:10.1063/5.0139508 A laser-based system to heat nuclear fuel pellets at high temperature; [12] 2018 doi:10.1063/1.4996611 An experimental platform for real-time measurement of the deformation of nuclear fuel rod 
"Richaud, J. C.",53.0,2,,"CEA, DEN/CAD/DEC/SSA3C, Laboratoire d’Analyse de la Migration des Radioelements 2 , 13108 Saint-Paul-lez-Durance, France | CEA, DES, IRESNE, DEC, Cadarache 1 , F-13108 Saint-Paul-Lez-Durance, France",[28] 2023 doi:10.1063/5.0139508 A laser-based system to heat nuclear fuel pellets at high temperature; [12] 2018 doi:10.1063/1.4996611 An experimental platform for real-time measurement of the deformation of nuclear fuel rod 
"Dutra, E. C.",52.5,2,,"Nevada National Security Site 2 , Livermore, California 94551, USA | Nevada National Security Site, Livermore Operations 1 , Livermore, California 94550, USA",[25] 2022 doi:10.1063/5.0099778 Evaluation of a novel mid-infrared pyrometer for dynamic material experiments; [15] 2020 doi:10.1063/1.5126123 A multi-wavelength streaked optical pyrometer for dynamic shock compression measurements a
"Akin, M. C.",52.5,2,,"Lawrence Livermore National Laboratory 1 , Livermore, California 94551, USA | Lawrence Livermore National Laboratory 2 , Livermore, California 94550, USA",[25] 2022 doi:10.1063/5.0099778 Evaluation of a novel mid-infrared pyrometer for dynamic material experiments; [15] 2020 doi:10.1063/1.5126123 A multi-wavelength streaked optical pyrometer for dynamic shock compression measurements a
"Sasao, H.",51.8,2,,"Naka Institute for Fusion Science and Technology, National Institutes for Quantum Science and Technology , Naka, Ibaraki 311-0193, Japan | National Institutes for Quantum Science and Technology , 801-",[20] 2025 doi:10.1063/5.0221294 Two-color CO2 laser long-distance interference measurements with long-time stabilization i; [15] 2024 doi:10.1063/5.0215877 Real-time processing system of a two-color CO2 laser interferometer for density feedback c
